controller,latency_s,peak_force_n,overshoot_n,impulse_250ms_ns,final_force_error_n
delayed_force,0.0,9.541294679591822,1.5412946795918216,1.986201255761522,7.105427357601002e-15
delay_scaled_cautious,0.0,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
force_advance_only,0.0,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.005,10.72718892932454,2.727188929324541,2.0262575291189493,1.0897949209720537e-11
delay_scaled_cautious,0.005,9.761781996770809,1.761781996770809,1.9509474416090429,1.3370993201533565e-10
force_advance_only,0.005,9.036267048605797,1.0362670486057972,1.9336901169712624,7.105427357601002e-14
contact_age_target_only,0.005,8.930818374831276,0.9308183748312757,1.848802222872896,9.683986945674405e-11
contact_age_invariant,0.005,8.482923066993704,0.48292306699370435,1.808548683917919,9.769962616701378e-15
delayed_force,0.01,12.33933898007231,4.339338980072309,2.065444674518809,1.8499744491862202e-07
delay_scaled_cautious,0.01,10.745940220054605,2.745940220054605,1.9639993646702067,3.396481513817662e-07
force_advance_only,0.01,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.01,9.698650385389989,1.698650385389989,1.8901930861469862,1.8249252331514754e-07
contact_age_invariant,0.01,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.02,16.235315918789667,8.235315918789667,2.1909414627818395,0.09477868463634032
delay_scaled_cautious,0.02,12.985602907633426,4.985602907633426,2.040146626053394,0.005674806446432257
force_advance_only,0.02,9.036267048605797,1.0362670486057972,1.9336901169712624,7.016609515630989e-14
contact_age_target_only,0.02,12.442266695934505,4.442266695934505,2.0191965492764967,0.04839076486969063
contact_age_invariant,0.02,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.04,24.536534690562828,16.536534690562828,2.2985450550170765,8.0
delay_scaled_cautious,0.04,17.30468854488629,9.30468854488629,1.5649156130031583,9.270048444099459
force_advance_only,0.04,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.04,24.133478055678083,16.133478055678083,1.877027331861008,2.2161853925161505
contact_age_invariant,0.04,8.482923066993704,0.48292306699370435,1.808548683917919,9.769962616701378e-15
delayed_force,0.06,32.8564784335106,24.856478433510603,3.391850319112472,4.175687062618667
delay_scaled_cautious,0.06,20.929923358889486,12.929923358889486,2.287825613711128,8.0
force_advance_only,0.06,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.06,32.77195032963701,24.771950329637008,2.9360617909749025,24.58952222642126
contact_age_invariant,0.06,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.08,41.17646020300493,33.17646020300493,5.050107275624741,8.0
delay_scaled_cautious,0.08,24.09628212892276,16.09628212892276,3.1001153541803235,14.829280585059614
force_advance_only,0.08,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.08,41.16210452232235,33.16210452232235,4.483937976634255,8.0
contact_age_invariant,0.08,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.1,49.506971803060885,41.506971803060885,7.020087410532255,38.82643479226213
delay_scaled_cautious,0.1,27.11223155742912,19.11223155742912,3.7040702521478006,8.0
force_advance_only,0.1,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.1,49.50425384708221,41.50425384708221,6.309950632788509,22.199311071360885
contact_age_invariant,0.1,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.125,59.90782700528415,51.90782700528415,9.327478063211334,8.0
delay_scaled_cautious,0.125,30.56956291587382,22.56956291587382,3.5842058580705114,8.0
force_advance_only,0.125,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.125,59.909497200142226,51.909497200142226,8.282304775738243,8.0
contact_age_invariant,0.125,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
delayed_force,0.15,70.31471792575223,62.314717925752234,11.084007298888224,8.0
delay_scaled_cautious,0.15,33.89018778708705,25.89018778708705,3.0911006002173838,8.0
force_advance_only,0.15,9.036267048605797,1.0362670486057972,1.9336901169712621,7.016609515630989e-14
contact_age_target_only,0.15,70.3155702985254,62.3155702985254,9.70687075677382,0.05140501399374475
contact_age_invariant,0.15,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15
