controller,latency_s,peak_force_n,overshoot_n,impulse_250ms_ns,final_force_error_n,seed,configured_latency_s,effective_latency_s,stiffness_scale,damping_scale,servo_scale,gap_scale,k_hat_scale,c_hat_scale
delayed_force,0.006520000225650686,11.763592466913787,3.763592466913787,2.0626522571637818,5.793989288349621e-09,0,0.0,0.006520000225650686,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
delay_scaled_cautious,0.006520000225650686,10.51093605119218,2.5109360511921803,1.983473098074302,2.6732822178132665e-08,0,0.0,0.006520000225650686,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
force_advance_only,0.006520000225650686,9.448621113777701,1.4486211137777012,1.9544327844814002,7.974065852067724e-12,0,0.0,0.006520000225650686,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
contact_age_target_only,0.006520000225650686,9.260260706745482,1.2602607067454823,1.877856000702244,1.565297935712806e-08,0,0.0,0.006520000225650686,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
contact_age_invariant,0.006520000225650686,8.6447629223608,0.6447629223607994,1.8291772826530674,3.948841253986757e-12,0,0.0,0.006520000225650686,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
delayed_force,0.04473540481564621,27.299732783675772,19.299732783675772,2.4780753159022035,17.91278815288031,0,0.04,0.04473540481564621,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
delay_scaled_cautious,0.04473540481564621,18.394296701478016,10.394296701478016,1.7662471129157873,8.0,0,0.04,0.04473540481564621,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
force_advance_only,0.04473540481564621,9.902375166503635,1.902375166503635,1.978876021000588,5.817222259452137e-10,0,0.04,0.04473540481564621,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
contact_age_target_only,0.04473540481564621,26.90407031437456,18.90407031437456,2.034912108480639,2.3138765557250993,0,0.04,0.04473540481564621,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
contact_age_invariant,0.04473540481564621,9.058895055407122,1.0588950554071221,1.8530681641184634,3.7261242979980125e-09,0,0.04,0.04473540481564621,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
delayed_force,0.07648132382096504,40.86262156866024,32.86262156866024,4.977535388009326,8.0,0,0.08,0.07648132382096504,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
delay_scaled_cautious,0.07648132382096504,23.93346041646683,15.93346041646683,3.0296925593193005,14.854037687490706,0,0.08,0.07648132382096504,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
force_advance_only,0.07648132382096504,9.918283756338967,1.9182837563389672,1.9975960135247708,4.458880287216971e-08,0,0.08,0.07648132382096504,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
contact_age_target_only,0.07648132382096504,40.81013666562453,32.81013666562453,4.3269765663445,8.0,0,0.08,0.07648132382096504,1.018859533164009,0.9669737841771745,1.1280845300886564,1.020980023430608,0.9196495940258334,1.090398763727371
