controller,latency_s,peak_force_n,overshoot_n,impulse_250ms_ns,final_force_error_n,k_hat_scale
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,0.75
contact_age_invariant,0.04,9.912014100835655,1.9120141008356555,1.8866542194131006,1.65062783707981e-06,0.75
contact_age_invariant,0.08,10.917923542477922,2.917923542477922,1.957342379642195,0.0005411005197384355,0.75
contact_age_invariant,0.12,11.05572951395042,3.0557295139504195,2.094798995288348,0.004804038454977899,0.75
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,0.9
contact_age_invariant,0.04,8.989278320490333,0.9892783204903335,1.8403116573179545,4.462172853436641e-10,0.9
contact_age_invariant,0.08,9.337494354828612,1.3374943548286122,1.871287050602405,5.818137971402848e-09,0.9
contact_age_invariant,0.12,9.352269952082914,1.3522699520829136,1.9109993277916524,3.746850495645049e-06,0.9
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,1.0
contact_age_invariant,0.04,8.482923066993704,0.48292306699370435,1.808548683917919,9.769962616701378e-15,1.0
contact_age_invariant,0.08,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,1.0
contact_age_invariant,0.12,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,1.0
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,1.1
contact_age_invariant,0.04,8.066075488082733,0.066075488082733,1.7765711715301264,1.5987211554602254e-14,1.1
contact_age_invariant,0.08,8.010682367062879,0.01068236706287884,1.745061200047047,5.053793827869413e-09,1.1
contact_age_invariant,0.12,8.018770102791045,0.018770102791044962,1.7169458983940513,5.092636943260231e-07,1.1
contact_age_invariant,0.0,8.482923066993703,0.4829230669937026,1.808548683917919,9.769962616701378e-15,1.25
contact_age_invariant,0.04,7.999999999999896,0.0,1.7286603814917154,1.0391687510491465e-13,1.25
contact_age_invariant,0.08,8.000619345359596,0.0006193453595955134,1.6526272028545559,2.1635278777409894e-06,1.25
contact_age_invariant,0.12,8.003164173824295,0.0031641738242953465,1.594801155155054,0.00016695676009259586,1.25
