suite,controller,latency_s,profile,seed,estimator,k_hat_scale,c_hat_scale,stiffness_scale,damping_scale,servo_scale,gap_scale,force_gain_scale,ramp_rate_scale,event_bias_s,event_jitter_s,event_drop_prob,false_early_m,tune,save_trajectory,peak_force_n,overshoot_n,impulse_250ms_ns,high_force_dwell_s,final_force_error_n,settling_time_s,contact_made,trajectory_csv
event_estimation,contact_age_invariant,0.04,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.482923066993704,0.48292306699370435,1.8085486839179201,0.0,9.769962616701378e-15,0.068,1,
event_estimation,contact_age_invariant,0.04,nominal,0,delayed_force_edge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,12.08863905190083,4.088639051900831,2.0471955395575274,0.007500000000000003,2.602362769721367e-13,0.105,1,
event_estimation,contact_age_invariant,0.04,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,,False,8.476203672190259,0.47620367219025894,1.7893933774412918,0.0,5.329070518200751e-15,0.07200000000000001,1,
event_estimation,contact_age_invariant,0.04,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008,0.004,0.0,0.0,,False,8.506314715346706,0.506314715346706,1.706188336785754,0.0,1.0125233984581428e-13,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.04,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.006,0.004,0.0,0.0,,False,8.489953313653329,0.48995331365332895,1.8181465531044807,0.0,1.7763568394002505e-14,0.0665,1,
event_estimation,contact_age_invariant,0.04,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004,0.2,0.0,,False,261.3499999999912,253.3499999999912,8.283751018879009,0.9594999999999497,253.3499999999912,-1.0,1,
event_estimation,contact_age_invariant,0.04,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.002,,False,8.955437574262131,0.955437574262131,1.9206021522208776,0.0,7.638334409421077e-14,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.04,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.002,,False,8.193101781470965,0.1931017814709648,1.8132044540780945,0.0,1.1191048088221578e-13,0.0935,1,
event_estimation,contact_age_invariant,0.08,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.482923066993703,0.4829230669937026,1.8085486839179201,0.0,9.769962616701378e-15,0.068,1,
event_estimation,contact_age_invariant,0.08,nominal,0,delayed_force_edge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,21.808177843748812,13.808177843748812,2.669155395692693,0.07950000000000006,3.872457909892546e-13,0.199,1,
event_estimation,contact_age_invariant,0.08,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,,False,8.476203672190259,0.47620367219025894,1.7893933774412918,0.0,5.329070518200751e-15,0.07200000000000001,1,
event_estimation,contact_age_invariant,0.08,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008,0.004,0.0,0.0,,False,8.506314715346706,0.506314715346706,1.706188336785754,0.0,1.0125233984581428e-13,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.08,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.006,0.004,0.0,0.0,,False,8.489953313653329,0.48995331365332895,1.8181465531044807,0.0,1.7763568394002505e-14,0.0665,1,
event_estimation,contact_age_invariant,0.08,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004,0.2,0.0,,False,261.3499999999912,253.3499999999912,8.283751018879009,0.9594999999999497,253.3499999999912,-1.0,1,
event_estimation,contact_age_invariant,0.08,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.002,,False,8.95543757426213,0.9554375742621293,1.9206021522208776,0.0,7.549516567451064e-14,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.08,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.002,,False,8.193101781470965,0.1931017814709648,1.8132044540780945,0.0,1.1191048088221578e-13,0.0935,1,
event_estimation,contact_age_invariant,0.12,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.482923066993703,0.4829230669937026,1.8085486839179201,0.0,9.769962616701378e-15,0.068,1,
event_estimation,contact_age_invariant,0.12,nominal,0,delayed_force_edge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,32.208177410194025,24.208177410194025,4.049303869073014,0.1430000000000001,8.977707466328866e-12,0.264,1,
event_estimation,contact_age_invariant,0.12,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,,False,8.476203672190259,0.47620367219025894,1.7893933774412918,0.0,5.329070518200751e-15,0.07200000000000001,1,
event_estimation,contact_age_invariant,0.12,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008,0.004,0.0,0.0,,False,8.506314715346706,0.506314715346706,1.706188336785754,0.0,1.0125233984581428e-13,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.12,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.006,0.004,0.0,0.0,,False,8.489953313653329,0.48995331365332895,1.8181465531044807,0.0,1.7763568394002505e-14,0.0665,1,
event_estimation,contact_age_invariant,0.12,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004,0.2,0.0,,False,261.3499999999912,253.3499999999912,8.283751018879009,0.9594999999999497,253.3499999999912,-1.0,1,
event_estimation,contact_age_invariant,0.12,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.002,,False,8.95543757426213,0.9554375742621293,1.9206021522208776,0.0,7.638334409421077e-14,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.12,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.002,,False,8.193101781470965,0.1931017814709648,1.8132044540780945,0.0,1.1191048088221578e-13,0.0935,1,
event_estimation,contact_age_invariant,0.18,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.482923066993703,0.4829230669937026,1.8085486839179201,0.0,9.769962616701378e-15,0.068,1,
event_estimation,contact_age_invariant,0.18,nominal,0,delayed_force_edge,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,47.80817736105411,39.80817736105411,7.077209975964477,0.23650000000000018,2.8045654687502974e-10,0.3585,1,
event_estimation,contact_age_invariant,0.18,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.002,0.0,0.0,,False,8.476203672190259,0.47620367219025894,1.7893933774412918,0.0,5.329070518200751e-15,0.07200000000000001,1,
event_estimation,contact_age_invariant,0.18,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.008,0.004,0.0,0.0,,False,8.506314715346706,0.506314715346706,1.706188336785754,0.0,1.0125233984581428e-13,0.08650000000000001,1,
event_estimation,contact_age_invariant,0.18,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.006,0.004,0.0,0.0,,False,8.489953313653329,0.48995331365332895,1.8181465531044807,0.0,1.7763568394002505e-14,0.0665,1,
event_estimation,contact_age_invariant,0.18,nominal,0,noisy_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.004,0.2,0.0,,False,261.3499999999912,253.3499999999912,8.283751018879009,0.9594999999999497,253.3499999999912,-1.0,1,
event_estimation,contact_age_invariant,0.18,nominal,0,geometry_prior,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,-0.002,,False,8.95543757426213,0.9554375742621293,1.9206021522208774,0.0,7.549516567451064e-14,0.08650000000000001,1,
