suite,controller,latency_s,profile,seed,estimator,k_hat_scale,c_hat_scale,stiffness_scale,damping_scale,servo_scale,gap_scale,force_gain_scale,ramp_rate_scale,event_bias_s,event_jitter_s,event_drop_prob,false_early_m,tune,save_trajectory,peak_force_n,overshoot_n,impulse_250ms_ns,high_force_dwell_s,final_force_error_n,settling_time_s,contact_made,trajectory_csv
mode_switch,delayed_force,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,25.15026219751657,17.15026219751657,2.3142066657134377,0.44500000000000034,8.0,-1.0,1,
mode_switch,tuned_cautious,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,18.21358054815509,10.21358054815509,1.6629530126894838,0.16600000000000012,9.175725890603562,-1.0,1,
mode_switch,smith_predictor,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.26648433857992,1.2664843385799198,1.9456428221326167,0.0,1.1644019082268642e-12,0.0915,1,
mode_switch,adaptive_windowed_advance,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,contact_age_invariant,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,wrong_event_control,0.04,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.71086240981709,1.7108624098170893,1.988579687316703,0.0,1.4876988529977098e-12,0.09,1,
mode_switch,delayed_force,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,41.999285790825176,33.999285790825176,5.233247341261649,0.5010000000000002,8.0,-1.0,1,
mode_switch,tuned_cautious,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,28.39245349030611,20.39245349030611,3.494279243700673,0.1350000000000001,8.0,-1.0,1,
mode_switch,smith_predictor,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.26648433857992,1.2664843385799198,1.9456428221326167,0.0,1.1644019082268642e-12,0.0915,1,
mode_switch,adaptive_windowed_advance,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,contact_age_invariant,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,wrong_event_control,0.08,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.71086240981709,1.7108624098170893,1.988579687316703,0.0,1.4876988529977098e-12,0.09,1,
mode_switch,delayed_force,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,58.84847631506313,50.84847631506313,9.135136986456876,0.4860000000000004,8.0,-1.0,1,
mode_switch,tuned_cautious,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,8.798396112352371,0.7983961123523713,0.4595627881580156,0.0,0.7983961123523713,-1.0,1,
mode_switch,smith_predictor,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.26648433857992,1.2664843385799198,1.9456428221326167,0.0,1.162625551387464e-12,0.0915,1,
mode_switch,adaptive_windowed_advance,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,contact_age_invariant,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.803446694902959e-13,0.067,1,
mode_switch,wrong_event_control,0.12,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.71086240981709,1.7108624098170893,1.988579687316703,0.0,1.4876988529977098e-12,0.09,1,
mode_switch,delayed_force,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,84.12932018696428,76.12932018696428,12.673627925022567,0.6079999999999884,53.20050079237001,-1.0,1,
mode_switch,tuned_cautious,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,0.0,0.0,0.0,0.0,8.0,-1.0,0,
mode_switch,smith_predictor,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.26648433857992,1.2664843385799198,1.9456428221326167,0.0,1.1644019082268642e-12,0.0915,1,
mode_switch,adaptive_windowed_advance,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.785683126508957e-13,0.067,1,
mode_switch,contact_age_invariant,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,8.567304306744067,0.5673043067440666,1.8204413075003352,0.0,6.785683126508957e-13,0.067,1,
mode_switch,wrong_event_control,0.18,nominal,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,9.71086240981709,1.7108624098170893,1.988579687316703,0.0,1.4876988529977098e-12,0.09,1,
mode_switch,delayed_force,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,36.588090077563244,28.588090077563244,2.859058174219285,0.46200000000000035,8.0,-1.0,1,
mode_switch,tuned_cautious,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,30.113800952132372,22.113800952132372,2.272379894344603,0.18550000000000014,13.657109393014352,-1.0,1,
mode_switch,smith_predictor,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,10.669288850917154,2.6692888509171535,1.7226062668466295,0.0,0.0072308640434251,0.2325,1,
mode_switch,adaptive_windowed_advance,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,14.536886594747761,6.536886594747761,1.7062640596619352,0.2630000000000002,0.657400672294548,-1.0,1,
mode_switch,contact_age_invariant,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,10.400630039045279,2.4006300390452786,1.5846911948350002,0.0,0.06351980307812966,0.2475,1,
mode_switch,wrong_event_control,0.04,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,10.449891065310048,2.449891065310048,1.773514307583199,0.0,0.03293192264410383,0.227,1,
mode_switch,delayed_force,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,66.07396044802435,58.07396044802435,7.577837213845798,0.5114999999999991,8.0,-1.0,1,
mode_switch,tuned_cautious,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,53.6506805361771,45.6506805361771,5.493519303871421,0.1540000000000001,8.0,-1.0,1,
mode_switch,smith_predictor,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,11.472853621586099,3.472853621586099,1.7086989612027375,0.0,0.5171742617489077,0.34850000000000003,1,
mode_switch,adaptive_windowed_advance,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,17.25794474259402,9.25794474259402,2.129323240141257,0.34400000000000025,4.588706217191557,-1.0,1,
mode_switch,contact_age_invariant,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,10.939174762886596,2.939174762886596,1.5738316547002524,0.0,0.12551993178183984,0.3655,1,
mode_switch,wrong_event_control,0.08,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,11.400543036640695,3.400543036640695,1.744766651991565,0.0,0.5748335403111398,0.34500000000000003,1,
mode_switch,delayed_force,0.12,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,95.56005400957943,87.56005400957943,13.895447929841211,0.4920000000000004,8.0,-1.0,1,
mode_switch,tuned_cautious,0.12,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,40,False,4.3440989471963105,0.0,0.21864860124640548,0.0,3.6559010528036895,-1.0,1,
mode_switch,smith_predictor,0.12,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,11.537248328778476,3.5372483287784764,1.5011353247105907,0.0,0.4727044840559662,0.46,1,
mode_switch,adaptive_windowed_advance,0.12,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,18.8029057642358,10.802905764235799,1.771811996576139,0.3785000000000003,5.079721611329637,-1.0,1,
mode_switch,contact_age_invariant,0.12,soft_to_hard,0,perfect_guard,1.0,1.0,1.0125730221093394,0.9735790273417396,1.0960633975664924,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,False,10.719559624460343,2.7195596244603433,1.3120326294721782,0.0,0.7886683509137979,0.342,1,
