suite,controller,latency_s,profile,seed,estimator,k_hat_scale,c_hat_scale,stiffness_scale,damping_scale,servo_scale,gap_scale,force_gain_scale,ramp_rate_scale,event_bias_s,event_jitter_s,event_drop_prob,false_early_m,tune,save_trajectory,peak_force_n,overshoot_n,impulse_250ms_ns,high_force_dwell_s,final_force_error_n,settling_time_s,contact_made,trajectory_csv
tuning,tuned_cautious,0.0,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,9.036267048605797,1.0362670486057972,1.9336901169712635,0.0,7.016609515630989e-14,0.08600000000000001,1,
tuning,tuned_cautious,0.0,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,10.20758359756213,2.207583597562129,1.8695161717703799,0.0,1.5276668818842154e-13,0.096,1,
tuning,tuned_cautious,0.0,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,9.211379990830237,1.2113799908302365,1.8436876405824363,0.0,9.592326932761353e-14,0.1015,1,
tuning,tuned_cautious,0.03,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,15.74100479540825,7.74100479540825,1.9819011226142256,0.3180000000000002,2.668129471884715,-1.0,1,
tuning,tuned_cautious,0.03,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,23.689728209094454,15.689728209094454,1.8886956129082244,0.3125000000000002,3.2230150574432095,-1.0,1,
tuning,tuned_cautious,0.03,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,18.29445355216866,10.294453552168662,1.744352822321909,0.31900000000000023,8.708489533112342,-1.0,1,
tuning,tuned_cautious,0.06,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,21.84636671723166,13.84636671723166,2.2957270456252887,0.2950000000000002,8.0,-1.0,1,
tuning,tuned_cautious,0.06,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,36.20667814794329,28.206678147943293,3.272567035763946,0.32700000000000023,8.0,-1.0,1,
tuning,tuned_cautious,0.06,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,25.635800725790222,17.635800725790222,2.670720112972351,0.32100000000000023,8.0,-1.0,1,
tuning,tuned_cautious,0.1,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,28.57185608293678,20.57185608293678,3.910624085007681,0.3095000000000002,8.0,-1.0,1,
tuning,tuned_cautious,0.1,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,49.51601831497225,41.51601831497225,5.882277019950228,0.33300000000000024,8.0,-1.0,1,
tuning,tuned_cautious,0.1,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,33.61123058257967,25.611230582579672,4.4677426113598795,0.33100000000000024,8.0,-1.0,1,
tuning,tuned_cautious,0.15,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,35.35587527699082,27.355875276990822,5.095310203688434,0.22000000000000017,1.957458914544306,-1.0,1,
tuning,tuned_cautious,0.15,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,63.257044374471285,55.257044374471285,6.992099382636235,0.23350000000000018,5.578003136811769,-1.0,1,
tuning,tuned_cautious,0.15,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,41.91116327743423,33.91116327743423,4.64017939968013,0.23450000000000018,7.5625000001288365,-1.0,1,
tuning,tuned_cautious,0.2,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,40.92153104204188,32.92153104204188,4.709611294380257,0.2825000000000002,8.0,-1.0,1,
tuning,tuned_cautious,0.2,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,74.87453089303435,66.87453089303435,5.651986149650402,0.2980000000000002,8.0,-1.0,1,
tuning,tuned_cautious,0.2,deadband,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4,False,48.99315834154858,40.99315834154858,3.694912854171429,0.3000000000000002,8.0,-1.0,1,
tuning,tuned_cautious,0.0,nominal,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8,False,9.036267048605797,1.0362670486057972,1.9336901169712635,0.0,7.016609515630989e-14,0.08600000000000001,1,
tuning,tuned_cautious,0.0,soft_to_hard,0,perfect_guard,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8,False,10.20758359756213,2.207583597562129,1.8695161717703799,0.0,1.5276668818842154e-13,0.096,1,
